Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Description
Carmen Sandiego: To Steal or Not to Steal,2020,7+,6.9,51,Anime,You drive the action in this interactive adventure helping Carmen save Ivy and Zack when V.I.L.E. captures them during a heist in Shanghai.
Jeremy Scott: The People's Designer,2015,13+,6.4,35,Biography,The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.
Sour Apples,2016,7+,7.1,53,Biography,A dizzying chronicle of excess and deception dissects a fascinating case of fine-wine fraud and the con man who cheated investors out of millions.
Nasha Natasha,2020,7+,6.5,44,Biography,Concert and behind-the-scenes footage capture life on tour for Uruguayan sensation Natalia Oreiro as she performs for packed crowds throughout Russia.
Azhar,2016,13+,5.8,46,Biography,"This biopic traces the tumultuous life and career of top cricket player Mohammad Azharuddin, who led India's national team in the 1990s."
Curtiz,2018,18+,6,53,Biography,"Driven and arrogant film director Michael Curtiz deals with studio politics and family drama during the troubled production of ""Casablanca"" in 1942."
Hawaizaada,2015,7+,5.5,36,Biography,In 1895 Mumbai spirited Indian lad Shiv Talpade defies British rule and sparse funding and physics to build the world's first airplane.
Harishchandrachi Factory,2009,all,8.4,57,Biography,Against a backdrop of burgeoning social unrest a neophyte filmmaker makes history in 1913 as the director of India's first feature-length film.
Grand-Daddy Day Care,2019,13+,4.9,45,Comedy,A frustrated novelist with money problems opens an unsanctioned senior center at his house to make quick cash and occupy his cumbersome father-in-law.
The Nut Job,2014,7+,5.7,58,Comedy,When his grouchy attitude gets him kicked out of the park Surly the squirrel hatches a plan to rob Maury's Nut Shop to stock up for winter.
The Dirt,2019,18+,7,73,Comedy,In this unflinching biopic based on Motley Crue's best-selling book four LA misfits navigate the monster highs and savage lows of music superstardom.
Arctic Dogs,2019,7+,4.6,51,Comedy,When he stumbles upon evil Otto Von Walrus's scheme to melt the Arctic ambitious delivery fox Swifty assembles a ragtag crew to protect the planet.
The Week Of,2018,13+,5.2,55,Comedy,Two fathers with clashing views about their children's upcoming wedding struggle to keep it together during the chaotic week before the big day.
Step Sisters,2018,13+,5.4,53,Comedy,With her Harvard Law dreams on the line a black sorority leader agrees to help a rhythmically challenged sisterhood win a step dance championship.
Ibiza,2018,18+,5.2,61,Comedy,When Harper is sent to Spain for an important work meeting her hard-partying friends tag along and convince her to pursue a fling with a famous DJ.
Hey Arnold! The Jungle Movie,2017,7+,7.6,75,Comedy,When Arnold and his crew win a trip to San Lorenzo their adventure in the wild forces them to take the same risky path as Arnold's missing parents.
Term Life,2016,18+,5.6,51,Drama,After a botched job a heist mastermind must run from gangsters and stay alive long enough for his daughter to benefit from his life insurance policy.
Skin,2018,18+,7,76,Drama,On a quest to find beauty in all complexions actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society.
Shot Caller,2017,18+,7.3,79,Drama,Trying to go straight a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.
Benji,2018,7+,6.3,65,Drama,A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.
In the Tall Grass,2019,18+,5.4,62,Drama,"After hearing a boy's cry for help a pregnant woman and her brother wade into a vast field of grass, only to discover there may be no way out."
Invader ZIM: Enter the Florpus,2019,7+,7.5,74,Animation,When Zim reappears to begin the next phase of his evil alien plan to conquer Earth his nemesis Dib Membrane sets out to unmask him once and for all.
Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,7+,7.7,57,Animation,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
Skins,2017,18+,6.2,62,Comedy,Deformed disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama.
A Thousand Words,2012,13+,5.9,57,Comedy,"When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count."
Shrek the Musical,2013,13+,7,58,Comedy,The greatest fairy tale never told comes to life in this colorful song-filled Tony Award-winning Broadway production based on the hit movie.
The Set Up,2019,18+,4.9,36,Crime,Manipulation and personal vendettas collide when a con artist hires a young woman to assist with his scheme to marry a wealthy heiress.
